Entity1_id,Entity1_name,Entity1_type,Entity2_id,Entity2_name,Entity2_type,Evidence,Association,PD,PMIDs,Combination,MultilinkAnnotation,ClinicalAnnotation,Literature,VariantAnnotation,VipGene,Evidence score
PA142672624,ANKFN1,Gene,PA447288,Essential hypertension,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,25695618,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA164722583,MIR2053,Gene,PA166122058,mucositis,Disease,VariantAnnotation,not associated,0,28628559,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA164722583,MIR2053,Gene,PA443937,Drug Toxicity,Disease,VariantAnnotation,not associated,0,24614921,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA164722583,MIR2053,Gene,PA446155,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Disease,VariantAnnotation,not associated,0,24614921;28628559,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA151958383,Gastrointestinal Stromal Tumors,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,30237583,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA31744,NQO1,Gene,PA164925725,Toxic liver disease,Disease,VariantAnnotation,not associated,0,17400324,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA166122058,mucositis,Disease,VariantAnnotation,associated,0,33675324,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA166123026,progression-free survival,Disease,VariantAnnotation,associated,0,30237583,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA166123431,heart valve replacement,Disease,VariantAnnotation,associated,0,27740732,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA166129530,time to achieve stable dose,Disease,VariantAnnotation,not associated,0,21923605,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA443297,Agranulocytosis,Disease,VariantAnnotation,not associated,0,27168101,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA443340,Anemia,Disease,VariantAnnotation,associated,0,26014925,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA443560,Breast Neoplasms,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18511948;21946896;26014925,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA31744,NQO1,Gene,PA443622,"Carcinoma, Non-Small-Cell Lung",Disease,VariantAnnotation,associated,0,12370763;21479364,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA443937,Drug Toxicity,Disease,VariantAnnotation,ambiguous,0,26014925;26644204,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA444370,Heart Failure,Disease,VariantAnnotation,not associated,0,18457324,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA444417,Hemorrhage,Disease,VariantAnnotation,associated,0,27581200,Gene - Disease,0.5000000000000001,0.0,0.0,1.0000000000000002,0.5000000000000001,1
PA31744,NQO1,Gene,PA444750,Leukemia,Disease,"MultilinkAnnotation,VariantAnnotation,VipGene",associated,0,11222389;15935810,Gene - Disease,0.5000000000000001,0.0,0.0,1.0000000000000002,0.5000000000000001,3
PA31744,NQO1,Gene,PA444760,"Leukemia, Myeloid, Acute",Disease,VariantAnnotation,associated,0,33675324,Gene - Disease,0.5000000000000001,0.0,0.0,0.5000000000000001,0.5000000000000001,1
PA31744,NQO1,Gene,PA444818,Lung Neoplasms,Disease,"MultilinkAnnotation,VipGene",associated,0,16170238,Gene - Disease,0.5000000000000001,0.0,0.0,0.5000000000000001,0.5000000000000001,2
PA31744,NQO1,Gene,PA445058,Neoplasm Metastasis,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,25545243,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,3
